zone,season,rmse_auto,rmse_manual,mae_auto,mae_manual,median_abs_error_auto,median_abs_error_manual,bias_auto,bias_manual,n_auto,n_manual,delta_rmse,delta_mae,delta_medae,delta_bias
Z03,Dry,26.98898896231746,16.54846379836827,24.835533988571758,14.625681998943977,21.440556919534508,12.349290050695123,23.772983148223776,14.218491451488218,464,464,10.44052516394919,10.209851989627781,9.091266868839385,9.554491696735559
Z03,Trans. Dry-Wet,11.787151798905994,7.65122991948597,11.31787477429695,6.892152241690671,10.528774542075915,6.8207488178243665,9.41751992263162,5.6448901383206085,177,177,4.135921879420024,4.425722532606279,3.7080257242515486,3.772629784311011
Z04,Wet,36.476295977202085,22.58687946572626,25.764152107949187,14.0119865786883,17.961715780190733,8.732033719571461,24.89107241897211,8.0164402536951,1309,1309,13.889416511475826,11.752165529260887,9.229682060619272,16.874632165277013
Z04,Trans. Wet-Dry,15.526565100654206,11.817899552376863,10.442520197641482,8.626980986735965,8.08474448782928,7.435942452340384,7.597076452729475,-1.9511258553826658,1431,1431,3.7086655482773434,1.8155392109055164,0.6488020354888961,9.54820230811214
Z04,Dry,34.302768637554756,27.13076225541385,27.557686138415672,19.477669977133978,24.185973818041287,16.271917228253265,22.155969562786595,10.613539768006717,1600,1600,7.172006382140907,8.080016161281694,7.9140565897880215,11.542429794779878
Z04,Trans. Dry-Wet,11.902966434399273,19.185195657013466,9.522633499683689,13.699344591311258,9.356383922617674,11.385723560256992,2.444768812880337,-8.811144283812968,1676,1676,-7.282229222614193,-4.176711091627569,-2.0293396376393176,11.255913096693305
Z05,Wet,19.567822922261023,12.76138446070261,11.942648213827969,9.252761159907575,7.723810478137956,7.736410599379482,2.83602672524949,-5.724830271892174,1270,1270,6.806438461558413,2.689887053920394,-0.012600121241526097,8.560856997141665
Z05,Trans. Wet-Dry,16.85642211506017,19.71705218262875,12.782927960520679,14.880541646841973,12.647105775614293,12.327337176271072,-6.632819893882892,-10.083052835729353,1199,1199,-2.8606300675685787,-2.097613686321294,0.3197685993432202,3.450232941846461
Z05,Dry,25.959059857347263,13.437452293053123,17.772208042583145,8.6840533392986,10.27092185028664,4.055163831693662,17.376604128266838,6.689992413990312,1361,1361,12.52160756429414,9.088154703284545,6.215758018592979,10.686611714276525
Z05,Trans. Dry-Wet,13.389464060243068,17.648434711914327,10.27670045817265,13.57989409496646,9.96669442249393,16.17394616277256,-6.019073849867512,-12.43462177119301,1350,1350,-4.258970651671259,-3.303193636793811,-6.207251740278629,6.415547921325498
Z06,Wet,17.464341060723548,15.610376191226091,13.934304783944242,7.9829638933548885,11.78558144620979,2.631878708968074,-7.61411534933581,2.5223446699559715,789,789,1.8539648694974566,5.9513408905893534,9.153702737241716,-10.136460019291782
Z06,Trans. Wet-Dry,10.212268220278004,7.279246484798838,8.669791568859813,5.037028459316641,8.612406339055752,3.803232829473515,-7.637591845934746,-2.2748660404131638,676,676,2.9330217354791657,3.6327631095431716,4.809173509582237,-5.362725805521582
Z06,Dry,8.739159098505057,11.73127343113569,3.992316095440943,10.414830138118901,2.5197093461165423,9.971084057426935,-0.6506754802517319,10.010035725845475,847,847,-2.992114332630633,-6.422514042677959,-7.451374711310393,-10.660711206097206
Z06,Trans. Dry-Wet,12.544872154547182,9.510855657077569,10.001105338763931,5.87212239291188,8.568060466909799,4.206008962871749,-9.991295204281792,-5.353787835774189,563,563,3.0340164974696133,4.1289829458520515,4.36205150403805,-4.637507368507603
