zone,season,method_key,validation_method,rmse,mae,median_abs_error,bias,median_error,n
Z04,Trans. Wet-Dry,manual,Manual PlanetScope,11.817899552376863,8.626980986735965,7.435942452340384,-1.9511258553826658,-0.25999493106735017,1431
Z04,Dry,auto,Automated NDVI 0.30,34.302768637554756,27.557686138415672,24.185973818041287,22.155969562786595,23.673120441918407,1600
Z04,Dry,manual,Manual PlanetScope,27.13076225541385,19.477669977133978,16.271917228253265,10.613539768006717,12.0874586261072,1600
Z04,Trans. Dry-Wet,auto,Automated NDVI 0.30,11.902966434399273,9.522633499683689,9.356383922617674,2.444768812880337,1.8803826334506537,1676
Z04,Trans. Dry-Wet,manual,Manual PlanetScope,19.185195657013466,13.699344591311258,11.385723560256992,-8.811144283812968,-9.832239470227881,1676
Z05,Wet,auto,Automated NDVI 0.30,19.567822922261023,11.942648213827969,7.723810478137956,2.83602672524949,-4.449847628549416,1270
Z05,Wet,manual,Manual PlanetScope,12.76138446070261,9.252761159907575,7.736410599379482,-5.724830271892174,-6.579918901076983,1270
Z05,Trans. Wet-Dry,auto,Automated NDVI 0.30,16.85642211506017,12.782927960520679,12.647105775614293,-6.632819893882892,-10.106293479478955,1199
Z05,Trans. Wet-Dry,manual,Manual PlanetScope,19.71705218262875,14.880541646841973,12.327337176271072,-10.083052835729353,-10.465561391193203,1199
Z05,Dry,auto,Automated NDVI 0.30,25.959059857347263,17.772208042583145,10.27092185028664,17.376604128266838,10.15664024223446,1361
Z05,Dry,manual,Manual PlanetScope,13.437452293053123,8.6840533392986,4.055163831693662,6.689992413990312,3.160157115003301,1361
Z05,Trans. Dry-Wet,auto,Automated NDVI 0.30,13.389464060243068,10.27670045817265,9.96669442249393,-6.019073849867512,-9.354330122128395,1350
Z05,Trans. Dry-Wet,manual,Manual PlanetScope,17.648434711914327,13.57989409496646,16.17394616277256,-12.43462177119301,-16.04831526383858,1350
Z06,Wet,auto,Automated NDVI 0.30,17.464341060723548,13.934304783944242,11.78558144620979,-7.61411534933581,-11.154237830260628,789
Z06,Wet,manual,Manual PlanetScope,15.610376191226091,7.9829638933548885,2.631878708968074,2.5223446699559715,-0.0255567843170752,789
Z06,Trans. Wet-Dry,auto,Automated NDVI 0.30,10.212268220278004,8.669791568859813,8.612406339055752,-7.637591845934746,-8.601108769476454,676
Z06,Trans. Wet-Dry,manual,Manual PlanetScope,7.279246484798838,5.037028459316641,3.803232829473515,-2.2748660404131638,-2.653074179774123,676
Z06,Dry,auto,Automated NDVI 0.30,8.739159098505057,3.992316095440943,2.5197093461165423,-0.6506754802517319,0.8545147183781125,847
Z06,Dry,manual,Manual PlanetScope,11.73127343113569,10.414830138118901,9.971084057426935,10.010035725845475,9.952479752358514,847
Z06,Trans. Dry-Wet,auto,Automated NDVI 0.30,12.544872154547182,10.001105338763931,8.568060466909799,-9.991295204281792,-8.568060466909799,563
Z06,Trans. Dry-Wet,manual,Manual PlanetScope,9.510855657077569,5.87212239291188,4.206008962871749,-5.353787835774189,-4.183144516708694,563
